sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon

DeviceType;DeviceLocation;SusyId;SerNo;TimeStamp;EntryId;EventCode;EventType;Category;Group;Tag
SB 4000TL-21;SN: 2130002605;138;2130002605;09.02.2012 09:16;1964;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;10.02.2012 09:42;1975;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;11.02.2012 09:22;1982;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;12.02.2012 09:19;1998;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;13.02.2012 09:00;2018;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;14.02.2012 09:30;2025;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;14.02.2012 17:53;2078;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;14.02.2012 18:33;2082;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;15.02.2012 09:21;2086;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;15.02.2012 10:00;2087;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;15.02.2012 10:52;2091;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;15.02.2012 17:41;2124;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;15.02.2012 18:17;2135;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;16.02.2012 10:56;2143;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-20;SN: 2100071167;78;2100071167;16.02.2012 11:04;8275;39;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;16.02.2012 12:10;2147;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;16.02.2012 12:48;2148;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;16.02.2012 13:13;8282;39;Incoming;Warning;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;16.02.2012 13:30;8289;39;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;16.02.2012 14:25;2154;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;16.02.2012 15:02;2156;3901;Incoming;Warning;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;16.02.2012 15:11;2163;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;17.02.2012 09:22;2171;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;18.02.2012 08:45;2192;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;19.02.2012 08:59;2204;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;20.02.2012 09:01;2223;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;21.02.2012 08:46;2234;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;22.02.2012 08:43;2247;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;23.02.2012 08:49;2266;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;24.02.2012 08:43;2277;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;25.02.2012 08:48;2284;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;26.02.2012 09:01;2305;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;27.02.2012 08:43;2320;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;28.02.2012 08:44;2327;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;29.02.2012 08:49;2352;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;01.03.2012 08:30;2363;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;02.03.2012 08:28;2374;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;03.03.2012 08:35;2385;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;04.03.2012 08:46;2400;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;05.03.2012 09:02;2416;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;06.03.2012 08:30;2427;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.03.2012 08:18;2447;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;08.03.2012 08:32;2458;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;09.03.2012 08:22;2469;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;10.03.2012 08:15;2495;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;11.03.2012 08:44;2502;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;12.03.2012 08:21;2528;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;13.03.2012 08:12;2543;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;14.03.2012 08:07;2573;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;15.03.2012 08:05;2585;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;16.03.2012 07:58;2596;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;17.03.2012 07:57;2607;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;18.03.2012 07:55;2618;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;19.03.2012 08:15;2634;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;20.03.2012 07:52;2655;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;21.03.2012 07:51;2666;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;22.03.2012 07:47;2677;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;23.03.2012 07:46;2688;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;24.03.2012 07:46;2699;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;25.03.2012 07:42;2715;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;26.03.2012 07:38;2726;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;27.03.2012 07:41;2737;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;28.03.2012 07:36;2748;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;29.03.2012 07:34;2759;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;30.03.2012 07:49;2766;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;31.03.2012 07:25;2791;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;01.04.2012 07:26;2802;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;02.04.2012 07:23;2817;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;03.04.2012 07:45;2825;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;04.04.2012 07:24;2845;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;05.04.2012 07:41;2860;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;06.04.2012 07:47;2881;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.04.2012 07:47;2906;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.04.2012 19:42;2920;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.04.2012 19:54;2924;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;08.04.2012 08:53;2928;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-20;SN: 2100071167;78;2100071167;08.04.2012 09:44;8766;39;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;08.04.2012 11:46;8773;39;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;09.04.2012 07:11;2944;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;10.04.2012 07:23;2955;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;10.04.2012 20:03;2967;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;11.04.2012 07:11;2977;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;12.04.2012 07:07;3001;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;13.04.2012 07:20;3019;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;14.04.2012 07:21;3042;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-20;SN: 2100071167;78;2100071167;14.04.2012 15:25;8835;8;Incoming;Info;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-21;SN: 2130002605;138;2130002605;14.04.2012 15:25;3047;801;Incoming;Info;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-20;SN: 2100071167;78;2100071167;14.04.2012 15:33;8845;10010;Event;Info;Gerätekomponenten;Neustart Diagnosesystem
SB 4000TL-20;SN: 2100071167;78;2100071167;14.04.2012 15:34;8850;8;Incoming;Info;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-21;SN: 2130002605;138;2130002605;14.04.2012 15:35;3065;801;Incoming;Info;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-20;SN: 2100071167;78;2100071167;14.04.2012 15:41;8863;8;Incoming;Warning;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-21;SN: 2130002605;138;2130002605;14.04.2012 15:41;3078;801;Incoming;Warning;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-20;SN: 2100071167;78;2100071167;14.04.2012 15:53;8877;8;Incoming;Error;Netzüberwachung;Netzausfall
SB 4000TL-21;SN: 2130002605;138;2130002605;14.04.2012 15:53;3092;801;Incoming;Error;Netzüberwachung;Netzausfall
SB 4000TL-21;SN: 2130002605;138;2130002605;14.04.2012 16:16;3115;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;14.04.2012 16:39;3141;801;Outgoing;Info;Netzüberwachung;Netzausfall
SB 4000TL-20;SN: 2100071167;78;2100071167;14.04.2012 16:39;8926;8;Outgoing;Info;Netzüberwachung;Netzausfall
SB 4000TL-21;SN: 2130002605;138;2130002605;15.04.2012 07:30;3155;10223;Event;Info;Gerät;Intervallzeit abgelaufen
